MetaNetX,equation,deltag
MNXR106354,2 C01795 + C00007 <=> 2 C00757 + 2 C00001; (1) cpd00007[0] + (2) cpd01238[0] => (2) cpd00001[0] + (2) cpd00563[0],-119.25
MNXR104992,C00007 + 2 C00355 <=> 2 C00822 + 2 C00001; (1) cpd00007[0] + (2) cpd00291[0] => (2) cpd00001[0] + (2) cpd00612[0],-82.41
MNXR106356,(1) cpd00007[0] + (1) cpd00752[0] + (1) cpd11610[0] => (1) cpd00001[0] + (1) cpd00011[0] + (1) cpd00778[0] + (1) cpd11609[0]; C00007 + C01020 + C00030 <=> C01059 + C00011 + C00028 + C00001,10000000.0
MNXR106357,(1) cpd00001[0] + (1) cpd02767[0] <=> (1) cpd00067[0] + (2) cpd00797[0]; C04546 + C00001 <=> 2 C01089,-11.98
MNXR106358,(2) cpd00852[0] <=> (1) cpd02532[0] + (1) cpd19001[0]; (2) cpd00852[0] <=> (1) cpd00190[0] + (1) cpd02532[0]; 2 C01158 <=> C00031 + C04101; (2) cpd00852[0] <=> (1) cpd00027[0] + (1) cpd02532[0],-2.55; -2.15
MNXR146833,C00027 + C01371 + C01327 <=> C01334 + 2 C00001; (1) cpd00025[0] + (1) cpd00067[0] + (1) cpd00099[0] + (1) cpd11855[0] <=> (2) cpd00001[0] + (1) cpd11847[0],10000000.0
MNXR106360,(1) cpd00001[0] + (1) cpd01108[0] <=> (1) cpd00067[0] + (2) cpd01020[0]; C01572 + C00001 <=> 2 C01424,-13.77
MNXR106361,(1) cpd00001[0] + (1) cpd01843[0] <=> (1) cpd00067[0] + (2) cpd01265[0]; C02868 + C00001 <=> 2 C01839,-13.87
MNXR106362,2 C00294 + C00007 <=> 2 C01993 + 2 C00001; (1) cpd00007[0] + (2) cpd00246[0] => (2) cpd00001[0] + (2) cpd01365[0],-101.47
MNXR106363,(1) cpd00001[0] + (1) cpd11973[0] => (2) cpd00067[0] + (2) cpd01469[0]; C01910 + C00001 <=> 2 C02171,10000000.0
MNXR146836,(1) cpd00007[0] + (2) cpd11884[0] <=> (1) cpd00025[0] + (1) cpd12074[0]; C00007 + 2 C01525 <=> C02318 + C00027; (1) cpd00007[0] + (4) cpd11884[0] => (2) cpd00001[0] + (2) cpd12074[0],10000000.0
MNXR106365,(1) cpd00007[0] + (2) cpd00077[0] => (2) cpd00001[0] + (2) cpd01569[0]; C00007 + 2 C00090 <=> 2 C02351 + 2 C00001,-71.27
MNXR95638,(1) cpd00001[0] + (1) cpd00921[0] <=> (2) cpd01588[0]; C01255 + C00001 <=> 2 C02378,1.15
MNXR106366,(1) cpd00007[0] + (2) cpd00067[0] + (2) cpd00385[0] => (2) cpd00001[0] + (2) cpd12242[0]; C00007 + 2 C00495 <=> 2 C03036 + 2 C00001,-92.72
MNXR106367,(1) cpd00007[0] + (2) cpd00067[0] + (2) cpd00385[0] => (2) cpd00001[0] + (2) cpd12243[0]; C00007 + 2 C00495 <=> 2 C03040 + 2 C00001,-92.72
MNXR151426,2 C03374 <=> C00486 + C05787; (2) cpd02141[0] <=> (1) cpd00376[0] + (1) cpd03428[0],0.0
MNXR106369,(2) cpd00865[0] <=> (1) cpd00027[0] + (1) cpd02622[0]; (2) cpd00865[0] <=> (1) cpd02622[0] + (1) cpd19001[0]; 2 C01175 <=> C04275 + C00031; (2) cpd00865[0] <=> (1) cpd00190[0] + (1) cpd02622[0],-1.82; -1.42
MNXR103430; MNXR192030,(1) cpd00067[0] + (2) cpd02656[0] => (1) cpd00220[0] + (1) cpd02882[0]; 2 C04332 <=> C00255 + C04732,-22.96
MNXR192057,2 C05359 + 2 C00080 <=> C00282; (2) cpd00067[0] + (2) cpd12713[0] <= (1) cpd11640[0],10000000.0
MNXR192057,2 C05359 + 2 C00080 <=> C00282; (2) cpd00067[0] + (2) cpd12713[0] <= (1) cpd11640[0],10000000.0
MNXR191857; MNXR138065,C00007 + 2 C00072 <=> 2 C05422 + 2 C00001; (1) cpd00007[0] + (2) cpd00059[0] + (2) cpd00067[0] => (2) cpd00001[0] + (2) cpd00335[0],-103.9
MNXR106371,C05565 + C00027 <=> C03680 + C00007 + C00001; (1) cpd00025[0] + (1) cpd03299[0] <= (1) cpd00001[0] + (1) cpd00007[0] + (1) cpd02311[0],44.43
MNXR146839,2 C05791 + C00007 <=> 2 C05795 + 2 C00001; (1) cpd00007[0] + (2) cpd03431[0] => (2) cpd00001[0] + (2) cpd03434[0],-118.04
MNXR106373,(1) cpd00001[0] + (1) cpd00007[0] + (1) cpd03484[0] => (1) cpd00025[0] + (1) cpd00067[0] + (1) cpd01852[0]; C05856 + C00007 + C00001 <=> C00027 + C02892,-40.01
MNXR106374,(1) cpd00001[0] + (1) cpd00336[0] + (1) cpd11609[0] <= (1) cpd03545[0] + (1) cpd11610[0]; C00427 + C00028 + C00001 <=> C05956 + C00030,10000000.0
MNXR106375,4 C01987 + 3 C00007 <=> 2 C02161 + 6 C00001; (3) cpd00007[0] + (4) cpd01360[0] => (6) cpd00001[0] + (2) cpd01462[0],-286.32
MNXR106376,(3) cpd00017[0] => (4) cpd00067[0] + (3) cpd00147[0] + (1) cpd03158[0]; 3 C00019 <=> 3 C00170 + C05324,-34.08
MNXR106377,4 C00002 + 2 C02308 <=> 4 C00008 + C02307; (4) cpd00002[0] + (2) cpd12068[0] <= (4) cpd00008[0] + (1) cpd12067[0],10000000.0
MNXR106378,(4) cpd00001[0] + (1) cpd12067[0] => (4) cpd00009[0] + (2) cpd12068[0]; C02307 + 4 C00001 <=> 2 C02308 + 4 C00009,10000000.0
MNXR99561,C00007 + 4 C14818 + 4 C00080 <=> 4 C14819 + 2 C00001; (1) cpd00007[0] + (4) cpd00067[0] + (4) cpd10515[0] <=> (2) cpd00001[0] + (4) cpd10516[0],-11.89
