MetaNetX,equation,deltag
MNXR110058,G10611 + G00074 <=> G10619 + G00075; (1) cpd00175[0] + (1) cpd21560[0] <=> (1) cpd00014[0] + (1) cpd21561[0],10000000.0
MNXR110059,(1) cpd00043[0] + (1) cpd21558[0] <=> (1) cpd00014[0] + (1) cpd21559[0]; G10609 + G00072 <=> G10619 + G00073,10000000.0
MNXR110060,G10611 + G00071 <=> G10619 + G00072; (1) cpd00175[0] + (1) cpd21557[0] <=> (1) cpd00014[0] + (1) cpd21558[0],10000000.0
MNXR101252,(1) cpd03511[0] <=> (1) cpd03512[0]; C05915 <=> C05916,10000000.0
MNXR149448,(1) cpd03630[0] <=> (1) cpd03631[0]; C06090 <=> C06091,10000000.0
MNXR110062,(1) cpd03630[0] <=> (1) cpd03632[0]; C06090 <=> C06092,10000000.0
MNXR95177; MNXR152731,G10611 + G00058 <=> G10619 + G00059; (1) cpd00175[0] + (1) cpd21546[0] <=> (1) cpd00014[0] + (1) cpd21547[0],10000000.0
MNXR110063,(1) cpd00043[0] + (1) cpd21542[0] <=> (1) cpd00014[0] + (1) cpd21545[0]; G10609 + G00054 <=> G10619 + G00057,10000000.0
MNXR146447,G10508 + C00001 <=> G00370 + C00009,
MNXR145275,G10609 + C00137 <=> G10619 + G10488,
MNXR110075,(1) cpd00112[0] + (1) cpd02989[0] <=> (1) cpd00046[0] + (1) cpd21549[0]; G10616 + G00050 <=> G10621 + G00061,10000000.0
MNXR110076,(1) cpd00112[0] + (1) cpd21554[0] <=> (1) cpd00046[0] + (1) cpd21572[0]; G10616 + G00067 <=> G10621 + G00087,10000000.0
MNXR101757,(1) cpd00179[0] <=> (1) cpd00794[0],-0.65; -0.69
MNXR147392,G10504 + C00028 <=> G10531 + C00030,
MNXR153643; MNXR99760,(1) cpd00272[0] + (1) cpd21574[0] <=> (1) cpd00031[0] + (1) cpd21575[0]; G10615 + G00089 <=> G10620 + G00090,10000000.0
MNXR110077,(1) cpd00272[0] + (1) cpd21569[0] <=> (1) cpd00031[0] + (1) cpd21570[0]; G10615 + G00084 <=> G10620 + G00085,10000000.0
MNXR146459; MNXR104529,(1) cpd00005[0] + (2) cpd00350[0] => (1) cpd00006[0] + (2) cpd00012[0] + (1) cpd00067[0] + (1) cpd00559[0]; 2 C00448 + C00005 + C00080 <=> C00751 + 2 C00013 + C00006,-38.87
MNXR110078,G10615 + G00085 <=> G10620 + G00086; (1) cpd00272[0] + (1) cpd21570[0] <=> (1) cpd00031[0] + (1) cpd21571[0],10000000.0
MNXR152262,G10608 + C00668 <=> G10619 + G09795,
MNXR143433,(1) cpd00026[0] + (1) cpd19006[0] <=> (1) cpd00014[0] + (1) cpd00523[0],-6.37
MNXR110080,(1) cpd00272[0] + (1) cpd21566[0] <=> (1) cpd00031[0] + (1) cpd21567[0]; G10615 + G00081 <=> G10620 + G00082,10000000.0
MNXR110081,(1) cpd00272[0] + (1) cpd21554[0] <=> (1) cpd00031[0] + (1) cpd21562[0]; G10615 + G00067 <=> G10620 + G00076,10000000.0
MNXR110082,(1) cpd00112[0] + (1) cpd21574[0] <=> (1) cpd00046[0] + (1) cpd21576[0]; G10616 + G00089 <=> G10621 + G00091,10000000.0
MNXR192067,(1) cpd00015[0] + (1) cpd00076[0] => (1) cpd00982[0] + (1) cpd03412[0],-3.29
MNXR148507,(1) cpd00043[0] + (1) cpd01743[0] <=> (1) cpd00014[0] + (1) cpd21634[0]; G11121 + G10609 <=> G00497 + G10619,10000000.0
MNXR110084,G10614 + G00004 <=> G10620 + G00005; (1) cpd00083[0] + (1) cpd21501[0] <=> (1) cpd00031[0] + (1) cpd21502[0],10000000.0
MNXR147302,G00289 + C00007 <=> G10590 + C00027; (1) cpd00007[0] + (1) cpd00158[0] <=> (1) cpd00025[0] + (1) cpd21694[0],10000000.0
MNXR147309,(1) cpd00158[0] <=> (1) cpd21643[0]; G00289 <=> G01630,10000000.0
MNXR147305,G00289 + C00028 <=> G10590 + C00030; (1) cpd00158[0] + (1) cpd11609[0] <=> (1) cpd11610[0] + (1) cpd21694[0],10000000.0
MNXR147633,G00289 + C15602 <=> G10590 + C15603; (1) cpd00158[0] + (1) cpd19168[0] <=> (1) cpd21694[0] + (1) cpd30750[0],10000000.0
MNXR145503,C00024 + G00275 <=> C00010 + G10592,
MNXR148880,G00110 + C00270 <=> G00111 + C00001,
MNXR149450,(1) cpd00007[0] + (2) cpd03430[0] => (2) cpd00001[0] + (2) cpd03433[0]; 2 C05790 + C00007 <=> 2 C05794 + 2 C00001,-84.12
MNXR149452,(1) cpd00007[0] + (2) cpd03429[0] => (2) cpd00001[0] + (2) cpd03432[0]; 2 C05789 + C00007 <=> 2 C05793 + 2 C00001,-120.14
MNXR110090,(2) cpd00067[0] + (1) cpd03431[0] <=> (1) cpd03430[0]; C05791 + 2 C00080 <=> C05790,0.35
MNXR110091,(4) cpd00067[0] + (1) cpd03430[0] <= (1) cpd03429[0]; C05790 + 4 C00080 <=> C05789,43.9
MNXR110092,G10617 + G00006 <=> G10622 + G10595; (1) cpd12407[0] + (1) cpd21503[0] <=> (1) cpd11619[0] + (1) cpd21695[0],10000000.0
MNXR110093,G10617 + G10595 <=> G10622 + G10596; (1) cpd12407[0] + (1) cpd21695[0] <=> (1) cpd11619[0] + (1) cpd21696[0],10000000.0
MNXR110094,G10617 + G10596 <=> G10622 + G10597; (1) cpd12407[0] + (1) cpd21696[0] <=> (1) cpd11619[0] + (1) cpd21697[0],10000000.0
MNXR110095,G10617 + G10597 <=> G10622 + G00007; (1) cpd12407[0] + (1) cpd21697[0] <=> (1) cpd11619[0] + (1) cpd21504[0],10000000.0
MNXR110096,(1) cpd21504[0] + (1) cpd21701[0] <=> (1) cpd11619[0] + (1) cpd21698[0]; G10618 + G00007 <=> G10622 + G10598,10000000.0
MNXR110097,(1) cpd21698[0] + (1) cpd21701[0] <=> (1) cpd11619[0] + (1) cpd21699[0]; G10618 + G10598 <=> G10622 + G10599,10000000.0
MNXR110098,G10618 + G10599 <=> G10622 + G00008; (1) cpd21699[0] + (1) cpd21701[0] <=> (1) cpd11619[0] + (1) cpd21505[0],10000000.0
MNXR145697; MNXR101723,(1) cpd00005[0] + (1) cpd00007[0] + (1) cpd00067[0] + (1) cpd02762[0] => (1) cpd00001[0] + (1) cpd00006[0] + (1) cpd08629[0]; C04536 + C00005 + C00080 + C00007 <=> C11829 + C00006 + C00001,10000000.0
MNXR145697; MNXR101723,(1) cpd00005[0] + (1) cpd00007[0] + (1) cpd00067[0] + (1) cpd02762[0] => (1) cpd00001[0] + (1) cpd00006[0] + (1) cpd08629[0]; C04536 + C00005 + C00080 + C00007 <=> C11829 + C00006 + C00001,10000000.0
MNXR101719,C11829 + C00005 + C00080 + C00007 <=> C11830 + C00006 + 2 C00001; (1) cpd00005[0] + (1) cpd00007[0] + (1) cpd08629[0] => (2) cpd00001[0] + (1) cpd00006[0] + (1) cpd08630[0],10000000.0
MNXR101719,C11829 + C00005 + C00080 + C00007 <=> C11830 + C00006 + 2 C00001; (1) cpd00005[0] + (1) cpd00007[0] + (1) cpd08629[0] => (2) cpd00001[0] + (1) cpd00006[0] + (1) cpd08630[0],10000000.0
MNXR145689; MNXR101720,(1) cpd00005[0] + (1) cpd00007[0] + (1) cpd00067[0] + (1) cpd08630[0] <=> (2) cpd00001[0] + (1) cpd00006[0] + (1) cpd08631[0]; C11830 + C00005 + C00080 + C00007 <=> C11831 + C00006 + 2 C00001,10000000.0
MNXR149455,C04536 + C00019 + C00001 <=> C11829 + C05198 + C00073; (1) cpd00001[0] + (1) cpd02762[0] + (1) cpd11609[0] <= (1) cpd08629[0] + (1) cpd11610[0],10000000.0
MNXR110100,(1) cpd08629[0] + (1) cpd11609[0] <=> (1) cpd08630[0] + (1) cpd11610[0]; C11829 + C00019 <=> C11830 + C05198 + C00073,10000000.0
MNXR151336,C11830 + C00019 <=> C11831 + C05198 + C00073; (1) cpd08630[0] + (1) cpd11609[0] <=> (1) cpd08631[0] + (1) cpd11610[0],10000000.0
MNXR151873,C11831 + 2 C00080 <=> C02880; (2) cpd00067[0] + (1) cpd08631[0] <=> (1) cpd01845[0],10000000.0
MNXR192196,(1) cpd00006[0] + (1) cpd01449[0] <= (1) cpd00005[0] + (1) cpd00067[0] + (1) cpd08632[0]; (1) cpd00005[0] + (1) cpd00067[0] + (1) cpd08632[0] => (1) cpd00006[0] + (1) cpd01449[0]; C11832 + C00005 + C00080 <=> C02139 + C00006,10000000.0
MNXR110104,(1) cpd00112[0] + (1) cpd21656[0] <=> (1) cpd00046[0] + (1) cpd21654[0]; G10616 + G04854 <=> G10621 + G04461,10000000.0
MNXR110105,G10616 + G04461 <=> G10621 + G04135; (1) cpd00112[0] + (1) cpd21654[0] <=> (1) cpd00046[0] + (1) cpd21653[0],10000000.0
MNXR152265,G10608 + C00195 <=> G10619 + G10238,
MNXR148112,G10238 + G10609 <=> G00092 + G10619,
MNXR147352,G10609 + C00195 <=> G10619 + G11121,
MNXR148510,C00053 + G11121 <=> C00054 + G11122,
MNXR149007,G11122 + C00001 <=> G11121 + C00059,
MNXR110106,C02139 + C00139 + 2 C00008 + 2 C00009 <=> C02880 + C00138 + 2 C00002 + 2 C00001; (1) cpd00001[0] + (1) cpd00002[0] + (1) cpd00067[0] + (1) cpd01845[0] <= (1) cpd00008[0] + (1) cpd00009[0] + (1) cpd01449[0]; (2) cpd00008[0] + (2) cpd00009[0] + (1) cpd01449[0] + (1) cpd11621[0] <=> (2) cpd00001[0] + (2) cpd00002[0] + (1) cpd01845[0] + (1) cpd11620[0],10000000.0
MNXR110107,C00001 + G00332 <=> C00195 + G02952; (1) cpd00001[0] + (1) cpd21631[0] <=> (1) cpd00167[0] + (1) cpd21651[0],10000000.0
MNXR192198,(1) cpd00067[0] + (1) cpd01449[0] + (1) cpd03214[0] <=> (1) cpd00012[0] + (1) cpd03148[0]; C02139 + C05427 <=> C05306 + C00013; (1) cpd00067[0] + (1) cpd01449[0] + (1) cpd03214[0] => (1) cpd00012[0] + (1) cpd03148[0],10000000.0
MNXR145667,G11161 + C04121 <=> G11160 + C00055,
MNXR101684,(1) cpd02546[0] + (1) cpd03585[0] => (1) cpd00046[0] + (1) cpd00067[0] + (1) cpd03586[0],-11.23
MNXR151308,C11832 + C00006 <=> C11831 + C00005 + C00080; (1) cpd00005[0] + (1) cpd00067[0] + (1) cpd08631[0] <=> (1) cpd00006[0] + (1) cpd08632[0]; (1) cpd00006[0] + (1) cpd08632[0] <=> (1) cpd00005[0] + (1) cpd00067[0] + (1) cpd08631[0],10000000.0
MNXR149460,(1) cpd08632[0] <=> (1) cpd08648[0]; C11832 <=> C11850,10000000.0
MNXR149462,(2) cpd00067[0] + (1) cpd08648[0] => (1) cpd03148[0]; C11850 <=> C05306,10000000.0
MNXR149284,2 G11174 + C00003 <=> G11175 + C00004 + C00080,
MNXR149287,2 G11174 + C00006 <=> G11175 + C00005 + C00080,
MNXR149464,(1) cpd00005[0] + (1) cpd00007[0] + (1) cpd00067[0] + (1) cpd03630[0] => (1) cpd00001[0] + (1) cpd00006[0] + (1) cpd08670[0]; C06090 + C03024 + C00007 <=> C11872 + C03161 + C00001,10000000.0
MNXR149467,C11872 + C03024 + C00007 <=> C11873 + C03161 + 2 C00001; (1) cpd00005[0] + (1) cpd00007[0] + (1) cpd00067[0] + (1) cpd08670[0] => (2) cpd00001[0] + (1) cpd00006[0] + (1) cpd08671[0],10000000.0
MNXR149470,(1) cpd00005[0] + (1) cpd00007[0] + (1) cpd08671[0] => (1) cpd00001[0] + (1) cpd00006[0] + (1) cpd08672[0]; C11873 + C03024 + C00007 <=> C11874 + C03161 + C00001,10000000.0
MNXR149473,(1) cpd00005[0] + (1) cpd00007[0] + (1) cpd00067[0] + (1) cpd08672[0] => (1) cpd00001[0] + (1) cpd00006[0] + (1) cpd08673[0]; C11874 + C03024 + C00007 <=> C11875 + C03161 + C00001,10000000.0
MNXR149476,(1) cpd00005[0] + (1) cpd00007[0] + (1) cpd00067[0] + (1) cpd08673[0] => (2) cpd00001[0] + (1) cpd00006[0] + (1) cpd03633[0]; C11875 + C03024 + C00007 <=> C06093 + C03161 + 2 C00001,10000000.0
MNXR149479,(1) cpd00005[0] + (1) cpd00007[0] + (1) cpd00067[0] + (1) cpd08673[0] => (1) cpd00001[0] + (1) cpd00006[0] + (1) cpd08674[0]; C11875 + C03024 + C00007 <=> C11876 + C03161 + C00001,10000000.0
MNXR149481,C06093 + C03024 + C00007 <=> C11857 + C03161 + C00001; (1) cpd00005[0] + (1) cpd00007[0] + (1) cpd03633[0] => (1) cpd00001[0] + (1) cpd00006[0] + (1) cpd08655[0],10000000.0
MNXR110119,(1) cpd00289[0] => (1) cpd19111[0]; C00353 <=> C11901,-22.74
MNXR110120,(1) cpd03629[0] => (1) cpd00012[0] + (1) cpd00067[0] + (1) cpd03626[0]; C11901 <=> C06086 + C00013; (1) cpd19111[0] <=> (1) cpd00012[0] + (1) cpd00067[0] + (1) cpd03626[0],-40.99
MNXR110121,(1) cpd03629[0] => (1) cpd00012[0] + (1) cpd00067[0] + (1) cpd08676[0]; (1) cpd19111[0] <=> (1) cpd00012[0] + (1) cpd00067[0] + (1) cpd08676[0]; C11901 <=> C11878 + C00013,-54.24
MNXR110122,(1) cpd03629[0] => (1) cpd00012[0] + (1) cpd00067[0] + (1) cpd08677[0]; C11901 <=> C11879 + C00013; (1) cpd19111[0] <=> (1) cpd00012[0] + (1) cpd00067[0] + (1) cpd08677[0],-54.24
MNXR110123,C11901 <=> C11880 + C00013; (1) cpd19111[0] <=> (1) cpd00012[0] + (1) cpd00067[0] + (1) cpd08678[0]; (1) cpd03629[0] => (1) cpd00012[0] + (1) cpd00067[0] + (1) cpd08678[0],-28.5
MNXR110124,(1) cpd19111[0] <=> (1) cpd00012[0] + (1) cpd00067[0] + (1) cpd08679[0]; C11901 <=> C11881 + C00013; (1) cpd03629[0] => (1) cpd00012[0] + (1) cpd00067[0] + (1) cpd08679[0],-45.42
MNXR110125,C00353 <=> C11894 + C00013; (1) cpd00289[0] => (1) cpd00012[0] + (1) cpd00067[0] + (1) cpd08692[0],-81.88
MNXR110126,C11894 + C03024 + C00007 <=> C11895 + C03161 + C00001; (1) cpd00007[0] + (1) cpd08692[0] + (1) cpd11610[0] => (1) cpd00001[0] + (1) cpd08693[0] + (1) cpd11609[0],10000000.0
MNXR110127,C11895 + C00024 <=> C11896 + C00010; (1) cpd00022[0] + (1) cpd08693[0] => (1) cpd00010[0] + (1) cpd08694[0],1.24
MNXR149484,C11895 + C03024 + C00007 <=> C11897 + C03161 + C00001; (1) cpd00005[0] + (1) cpd00007[0] + (1) cpd00067[0] + (1) cpd08693[0] => (1) cpd00001[0] + (1) cpd00006[0] + (1) cpd08695[0],-97.2
MNXR149487,(1) cpd00005[0] + (1) cpd00007[0] + (1) cpd00067[0] + (1) cpd08694[0] => (1) cpd00001[0] + (1) cpd00006[0] + (1) cpd08696[0]; C11896 + C03024 + C00007 <=> C11898 + C03161 + C00001,-97.2
MNXR110130,C11899 + C00512 <=> C11700 + C00010; (1) cpd00401[0] + (1) cpd08697[0] => (1) cpd00010[0] + (1) cpd08510[0],-0.09
MNXR110131,(1) cpd00022[0] + (1) cpd08510[0] => (1) cpd00010[0] + (1) cpd08698[0]; C11700 + C00024 <=> C11900 + C00010,1.24
MNXR110132,C00353 <=> C11902; (1) cpd00289[0] => (1) cpd08700[0],-22.74
MNXR191278,(1) cpd00001[0] + (1) cpd08700[0] <=> (1) cpd00012[0] + (1) cpd00067[0] + (1) cpd08688[0]; C11902 + C00001 <=> C11890 + C00013; (1) cpd08700[0] <=> (1) cpd08688[0],10000000.0
MNXR149490,(1) cpd08700[0] <=> (1) cpd08689[0]; C11902 <=> C11891,10000000.0
MNXR149492,(1) cpd08700[0] <=> (1) cpd08690[0]; C11902 <=> C11892,10000000.0
MNXR149494,(1) cpd08688[0] => (1) cpd03628[0]; C11890 <=> C06088,10000000.0
MNXR149496,C11891 <=> C06088; (1) cpd08689[0] => (1) cpd03628[0],10000000.0
MNXR110138,(1) cpd08695[0] => (1) cpd08697[0]; C11897 <=> C11899,-316.76
MNXR110139,C20151 <=> C11899; (1) cpd08696[0] => (1) cpd08697[0]; (1) cpd21384[0] <=> (1) cpd08697[0],-239.47; -279.31
MNXR139438,C11900 <=> C07394; (1) cpd08698[0] => (1) cpd04580[0],95.41
MNXR191280,(1) cpd00289[0] <=> (1) cpd08691[0]; C00353 <=> C11893,402.7
MNXR152415,(1) cpd00007[0] + (1) cpd00024[0] + (1) cpd08655[0] => (1) cpd00011[0] + (1) cpd00036[0] + (1) cpd08658[0]; C11857 + C00026 + C00007 <=> C11860 + C00042 + C00011,10000000.0
MNXR152417,(1) cpd00007[0] + (1) cpd00024[0] + (1) cpd08658[0] => (1) cpd00001[0] + (1) cpd00011[0] + (1) cpd00036[0] + (1) cpd08659[0]; C11860 + C00026 + C00007 <=> C11861 + C00042 + C00011 + C00001,10000000.0
MNXR110144,(1) cpd08656[0] => (1) cpd08657[0]; C11858 <=> C11859,10000000.0
MNXR110145,(1) cpd08657[0] => (2) cpd00067[0] + (1) cpd08660[0]; C11859 <=> C11862,10000000.0
MNXR149498,(1) cpd08659[0] <=> (1) cpd00011[0] + (1) cpd08661[0]; C11861 <=> C11863 + C00011,10000000.0
MNXR149501,C11862 <=> C11864 + C00011; (1) cpd08660[0] <=> (1) cpd00011[0] + (1) cpd08662[0],10000000.0
MNXR149503,(1) cpd03633[0] => (1) cpd08703[0]; C06093 <=> C11905,10000000.0
MNXR110149,(1) cpd08655[0] => (1) cpd03634[0]; C11857 <=> C06094,10000000.0
MNXR143569,(1) cpd08658[0] => (1) cpd03635[0]; C11860 <=> C06095,10000000.0
MNXR110151,C11861 <=> C02034; (1) cpd08659[0] => (1) cpd01389[0],10000000.0
MNXR149505,(1) cpd08661[0] => (1) cpd01390[0]; C11863 <=> C02035,10000000.0
MNXR110153,C11857 <=> C11858; (1) cpd08655[0] => (1) cpd08656[0],10000000.0
MNXR143570,(1) cpd08658[0] => (1) cpd08657[0]; C11860 <=> C11859,10000000.0
MNXR110155,(1) cpd00007[0] + (1) cpd00024[0] + (1) cpd08659[0] => (1) cpd00011[0] + (1) cpd00036[0] + (1) cpd08660[0]; C11861 + C00026 + C00007 <=> C11862 + C00042 + C00011,10000000.0
MNXR149507,C11863 + C00026 + C00007 <=> C11864 + C00042 + C00011; (1) cpd00007[0] + (1) cpd00024[0] + (1) cpd08661[0] => (1) cpd00011[0] + (1) cpd00036[0] + (1) cpd08662[0],10000000.0
MNXR149510,(1) cpd00007[0] + (1) cpd00024[0] + (1) cpd08661[0] => (1) cpd00011[0] + (1) cpd00036[0] + (1) cpd08663[0]; C11863 + C00026 + C00007 <=> C11865 + C00042 + C00011,10000000.0
MNXR149512,(1) cpd00007[0] + (1) cpd00024[0] + (1) cpd08662[0] => (1) cpd00011[0] + (1) cpd00036[0] + (1) cpd08666[0]; C11864 + C00026 + C00007 <=> C11868 + C00042 + C00011,10000000.0
MNXR110159,C11853 <=> C11858; (1) cpd08651[0] => (1) cpd08656[0],10000000.0
MNXR110160,(1) cpd08703[0] => (1) cpd03634[0]; C11905 <=> C06094,10000000.0
MNXR149514,(1) cpd03633[0] => (1) cpd08651[0]; C06093 <=> C11853,10000000.0
MNXR149516,(1) cpd08666[0] <=> (3) cpd00067[0] + (1) cpd08667[0]; C11868 <=> C11869,10000000.0
MNXR149518,(1) cpd08663[0] <=> (3) cpd00067[0] + (1) cpd08652[0]; C11865 <=> C11854,10000000.0
MNXR149520,(1) cpd03636[0] <=> (3) cpd00067[0] + (1) cpd08653[0]; C06096 <=> C11855,10000000.0
MNXR149522,(1) cpd02249[0] <=> (3) cpd00067[0] + (1) cpd08668[0]; C03579 <=> C11870,10000000.0
MNXR149524,(1) cpd01390[0] => (2) cpd00067[0] + (1) cpd08669[0]; C02035 <=> C11871,10000000.0
MNXR149526,(1) cpd08669[0] => (1) cpd01172[0]; C11871 <=> C01699,10000000.0
MNXR149528,(1) cpd08669[0] => (1) cpd08654[0]; C11871 <=> C11856,10000000.0
MNXR149530,(1) cpd08661[0] => (2) cpd00067[0] + (1) cpd08664[0]; C11863 <=> C11866,10000000.0
MNXR149532,C11866 <=> C11867; (1) cpd08664[0] => (1) cpd08665[0],10000000.0
MNXR149534,(1) cpd08676[0] => (1) cpd08680[0]; (1) cpd00005[0] + (1) cpd00007[0] + (1) cpd00067[0] + (1) cpd08676[0] <=> (1) cpd00001[0] + (1) cpd00006[0] + (1) cpd08680[0]; C11878 + C03024 + C00007 <=> C11882 + C03161 + C00001,-94.13; -37.41
MNXR110172,C11879 <=> C11883; (1) cpd08677[0] => (1) cpd08681[0],-37.41
MNXR110173,(1) cpd08678[0] => (1) cpd08682[0]; C11880 <=> C11884,-37.41
MNXR149536,C11882 + C03024 + C00007 <=> C11887 + C03161 + 2 C00001; (1) cpd00005[0] + (1) cpd00007[0] + (1) cpd00067[0] + (1) cpd08680[0] <=> (2) cpd00001[0] + (1) cpd00006[0] + (1) cpd08685[0]; (1) cpd08680[0] => (2) cpd00067[0] + (1) cpd08685[0],-10.37; -104.63
MNXR110175,(1) cpd08681[0] => (2) cpd00067[0] + (1) cpd08684[0]; C11883 <=> C11886,-10.37
MNXR110176,C11884 <=> C11885; (1) cpd08682[0] => (2) cpd00067[0] + (1) cpd08683[0],-10.37
MNXR110177,C11887 + C00001 + C00003 <=> C06087 + C00004 + 2 C00080; (1) cpd08685[0] <=> (1) cpd03627[0]; (1) cpd00001[0] + (1) cpd00003[0] + (1) cpd08685[0] <=> (1) cpd00004[0] + (2) cpd00067[0] + (1) cpd03627[0],-61.47; -8.68
MNXR149539,(1) cpd08684[0] => (1) cpd08686[0]; C11886 <=> C11888,-61.47
MNXR149541,C11885 <=> C11889; (1) cpd08683[0] => (1) cpd08687[0],-61.47
MNXR110180,(1) cpd00001[0] + (1) cpd03296[0] + (1) cpd11611[0] => (1) cpd00010[0] + (1) cpd00067[0] + (1) cpd00705[0] + (1) cpd11668[0]; C05557 + C00040 + C00001 <=> C00395 + C00010 + C00956,10000000.0
MNXR153107; MNXR96309,(1) cpd00001[0] + (1) cpd11668[0] <= (1) cpd00067[0] + (1) cpd12884[0]; C00395 + C00001 <=> C06567,10000000.0
MNXR149543,C00570 + C03201 <=> C00055 + C04475; (1) cpd00444[0] + (1) cpd12273[0] <=> (1) cpd00046[0] + (1) cpd00067[0] + (1) cpd12554[0],10000000.0
MNXR149545,C04767 + C06592 <=> C01221 + C00454; (1) cpd02899[0] + (1) cpd03996[0] <=> (1) cpd00354[0] + (1) cpd00899[0],10000000.0
MNXR103375,C02576 + C00001 + C00003 <=> C11924 + C00004 + C00080; (1) cpd00001[0] + (1) cpd00003[0] + (1) cpd01686[0] <=> (1) cpd00004[0] + (2) cpd00067[0] + (1) cpd08721[0],-8.68
MNXR149547,C11924 + C00010 + C00002 <=> C11929 + C00001 + C00008 + C00009; (1) cpd00002[0] + (1) cpd00010[0] + (1) cpd08721[0] => (1) cpd00008[0] + (1) cpd00009[0] + (1) cpd08726[0]; (1) cpd00002[0] + (1) cpd00010[0] + (1) cpd08721[0] <=> (1) cpd00008[0] + (1) cpd00009[0] + (1) cpd08726[0],-0.34
MNXR149549,(1) cpd00002[0] + (1) cpd00010[0] + (1) cpd08721[0] => (1) cpd00012[0] + (1) cpd00018[0] + (1) cpd00067[0] + (1) cpd08726[0]; (1) cpd00002[0] + (1) cpd00010[0] + (1) cpd08721[0] <=> (1) cpd00012[0] + (1) cpd00018[0] + (1) cpd00067[0] + (1) cpd08726[0]; (1) cpd00002[0] + (1) cpd00010[0] + (1) cpd08721[0] <=> (1) cpd00001[0] + (1) cpd00012[0] + (1) cpd00018[0] + (1) cpd08726[0]; C11924 + C00010 + C00002 <=> C11929 + C00001 + C00020 + C00013,-40.16; -2.62
MNXR110186,(1) cpd00001[0] + (1) cpd08726[0] <= (1) cpd08731[0]; C11929 + C00001 <=> C11934,12.31
MNXR110187,(1) cpd08731[0] + (1) cpd11609[0] <=> (1) cpd08732[0] + (1) cpd11610[0]; C11934 + C00028 <=> C11935 + C00030,10000000.0
MNXR110188,C11935 + C00001 <=> C11936; (1) cpd00001[0] + (1) cpd08732[0] => (1) cpd00067[0] + (1) cpd08733[0],8.76
MNXR110189,(1) cpd11610[0] + (1) cpd19107[0] <=> (1) cpd08266[0] + (1) cpd11609[0]; (2) cpd00067[0] + (1) cpd01220[0] => (1) cpd08266[0]; C11383 + C00030 <=> C11412 + C00028,15.25; 10000000.0
MNXR110190,(1) cpd01220[0] + (1) cpd11610[0] => (1) cpd08252[0] + (1) cpd11609[0]; C01767 + C00030 <=> C11398 + C00028,10000000.0
MNXR110191,C11395 <=> C01767; (1) cpd08249[0] => (2) cpd00067[0] + (1) cpd01220[0],-15.54
MNXR110192,(1) cpd08262[0] => (2) cpd00067[0] + (1) cpd01220[0]; C11408 <=> C11383; (1) cpd08262[0] <=> (2) cpd00067[0] + (1) cpd19107[0],-15.54
MNXR191283,(1) cpd08250[0] <=> (2) cpd00067[0] + (1) cpd08252[0]; (1) cpd00003[0] + (1) cpd08250[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd08252[0]; C11396 + C00003 <=> C11398 + C00004 + C00080,-0.28; -15.54
MNXR191283,(1) cpd08250[0] <=> (2) cpd00067[0] + (1) cpd08252[0]; (1) cpd00003[0] + (1) cpd08250[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd08252[0]; C11396 + C00003 <=> C11398 + C00004 + C00080,-0.28; -15.54
MNXR110194,C11411 + C00003 <=> C11412 + C00004 + C00080; (1) cpd00003[0] + (1) cpd08265[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd08266[0]; (1) cpd08265[0] <=> (2) cpd00067[0] + (1) cpd08266[0],-0.28; -15.54
MNXR110195,C11397 + C00003 <=> C11398 + C00004 + C00080; (1) cpd08251[0] <=> (2) cpd00067[0] + (1) cpd08252[0]; (1) cpd00003[0] + (1) cpd08251[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd08252[0],-0.28; -15.54
MNXR110196,(1) cpd08264[0] <=> (2) cpd00067[0] + (1) cpd08266[0]; C11410 + C00003 <=> C11412 + C00004 + C00080; (1) cpd00003[0] + (1) cpd08264[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd08266[0],-0.28; -15.54
MNXR110197,(1) cpd08252[0] <=> (1) cpd08255[0]; C11398 <=> C11401,0.0
MNXR110198,C11412 <=> C11415; (1) cpd08266[0] <=> (1) cpd08269[0],0.0
MNXR110199,(1) cpd08253[0] <=> (2) cpd00067[0] + (1) cpd08255[0]; (1) cpd00003[0] + (1) cpd08253[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd08255[0]; C11399 + C00003 <=> C11401 + C00004 + C00080,-0.28; -15.54
MNXR110200,(1) cpd08267[0] <=> (2) cpd00067[0] + (1) cpd08269[0]; C11413 + C00003 <=> C11415 + C00004 + C00080; (1) cpd00003[0] + (1) cpd08267[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd08269[0],-0.28; -15.54
MNXR110201,C11400 + C00003 <=> C11401 + C00004 + C00080; (1) cpd00003[0] + (1) cpd08254[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd08255[0]; (1) cpd08254[0] <=> (2) cpd00067[0] + (1) cpd08255[0],-0.28; -15.54
